data,mean,temp_arg,temp_arg_max,temp_arg_min
2021-05-12,16290.291666666666,10.2,13.6,6.8
2021-05-13,16417.25,11.7,15.6,7.8
2021-05-14,16396.41666666667,10.6,14.133333330000001,7.066666667
2021-05-15,14531.875,7.8,10.4,5.2
2021-05-16,14086.875,9.2,12.26666667,6.133333333000001
2021-05-17,15809.166666666666,8.1,10.8,5.4
2021-05-18,16318.291666666664,9.1,12.133333330000001,6.066666667
2021-05-19,16282.166666666668,11.3,15.06666667,7.533333333
2021-05-20,16784.5,13.9,18.53333333,9.266666667
2021-05-21,16184.749999999998,13.4,17.86666667,8.933333333
2021-05-22,15385.375,13.6,18.133333329999996,9.066666667
2021-05-23,15001.958333333327,12.4,16.53333333,8.266666667
2021-05-24,15003.375000000002,12.0,16.0,8.0
2021-05-25,15000.041666666664,12.6,16.8,8.4
2021-05-26,16663.541666666664,11.2,14.93333333,7.466666667
2021-05-27,16435.166666666664,16.1,21.46666667,10.73333333
2021-05-28,15879.166666666664,15.6,20.8,10.4
2021-05-29,15308.0,8.8,11.73333333,5.866666667
2021-05-30,14938.541666666664,7.9,10.53333333,5.266666667
2021-05-31,16442.54166666666,14.5,19.33333333,9.666666667
2021-06-01,16890.541666666664,15.6,20.8,10.4
2021-06-02,3482.166666666666,11.7,15.600000000000001,7.800000000000001
2021-06-03,16078.166666666662,11.6,15.46666667,7.733333333
2021-06-04,16485.166666666664,16.9,22.53333333,11.26666667
2021-06-05,15269.70833333333,13.0,17.33333333,8.666666667
2021-06-06,14939.416666666666,8.3,11.06666667,5.533333333
2021-06-07,16679.333333333336,11.2,14.93333333,7.466666667
2021-06-08,17662.958333333332,14.9,19.866666670000004,9.933333333
2021-06-09,17429.625,15.9,21.2,10.6
2021-06-10,16758.291666666668,13.9,18.53333333,9.266666667
2021-06-11,17110.916666666668,9.4,12.53333333,6.266666667
2021-06-12,16009.416666666666,16.1,21.46666667,10.73333333
2021-06-13,14569.041666666666,16.8,22.4,11.2
2021-06-14,16403.958333333332,12.5,16.66666667,8.333333333
2021-06-15,17762.875,6.6,8.8,4.4
2021-06-16,19398.75,5.1,6.8,3.4
2021-06-17,20491.124999999996,4.0,5.333333333,2.666666667
2021-06-18,19783.625000000004,3.3,4.4,2.2
2021-06-19,18333.124999999996,4.1,5.466666667,2.733333333
2021-06-20,17150.249999999996,3.4,4.533333333,2.266666667
2021-06-21,16510.166666666664,7.9,10.53333333,5.266666667
2021-06-22,18094.125,12.3,16.4,8.2
2021-06-23,18786.083333333336,13.8,18.4,9.2
2021-06-24,18112.874999999996,12.8,17.06666667,8.533333333
2021-06-25,17753.374999999996,11.7,15.6,7.8
2021-06-26,17237.333333333332,7.9,10.53333333,5.266666667
2021-06-27,17323.249999999996,6.3,8.4,4.2
2021-06-28,20208.541666666675,7.3,9.733333333,4.866666667
2021-06-29,21272.166666666664,7.5,10.0,5.0
2021-06-30,21113.75,5.8,7.733333333,3.866666667
2021-07-01,20666.166666666675,8.4,11.2,5.6
2021-07-02,20522.708333333332,6.2,8.266666667,4.133333333
2021-07-03,17791.875,8.9,11.86666667,5.933333332999999
2021-07-04,16311.458333333332,10.1,13.46666667,6.733333333
2021-07-05,18383.124999999996,5.7,7.6,3.8
2021-07-06,17945.916666666668,9.9,13.2,6.6
2021-07-07,17966.666666666664,13.5,18.0,9.0
2021-07-08,17195.0,13.2,17.6,8.8
2021-07-09,15748.375,19.8,26.4,13.2
2021-07-10,15794.333333333336,14.5,19.33333333,9.666666667
2021-07-11,14460.458333333332,10.1,13.46666667,6.733333333
2021-07-12,17072.499999999996,14.2,18.93333333,9.466666667
2021-07-13,16881.416666666668,11.4,15.2,7.6
2021-07-14,17307.625000000004,8.9,11.86666667,5.933333333
2021-07-15,18667.875,10.4,13.866666669999999,6.933333333
2021-07-16,17469.333333333336,9.2,12.266666669999998,6.133333333
2021-07-17,17245.374999999996,8.8,11.73333333,5.866666666999999
2021-07-18,16898.416666666664,7.7,10.26666667,5.133333333000001
2021-07-19,19700.958333333325,5.6,7.466666667,3.733333333
2021-07-20,19309.000000000004,10.0,13.33333333,6.666666667
2021-07-21,18603.666666666668,11.2,14.93333333,7.466666667
2021-07-22,16573.91666666667,12.9,17.2,8.6
2021-07-23,16966.375,16.8,22.4,11.2
2021-07-24,16501.875,14.4,19.2,9.6
2021-07-25,15532.541666666668,14.9,19.866666670000004,9.933333333
2021-07-26,17129.5,8.6,11.46666667,5.733333333
2021-07-27,19108.333333333332,6.9,9.2,4.6
2021-07-28,20088.291666666664,6.3,8.4,4.2
2021-07-29,20082.625000000004,5.9,7.866666666999999,3.9333333330000007
2021-07-30,19433.041666666668,10.4,13.86666667,6.933333332999999
2021-07-31,17621.208333333336,10.7,14.26666667,7.133333333
2021-08-01,15650.916666666664,6.8,9.066666667,4.533333333
2021-08-02,17640.583333333332,9.4,12.53333333,6.266666667
2021-08-03,17536.250000000007,10.3,13.73333333,6.866666667
2021-08-04,17192.583333333336,7.6,10.13333333,5.066666667000001
2021-08-05,17563.083333333332,10.1,13.46666667,6.733333333
2021-08-06,17854.624999999996,14.1,18.8,9.4
2021-08-07,17530.499999999996,18.9,25.2,12.6
2021-08-08,15708.5,10.0,13.33333333,6.666666667
2021-08-09,18604.708333333336,7.6,10.13333333,5.066666667000001
2021-08-10,19778.95833333333,4.7,6.266666667,3.133333333
2021-08-11,19385.541666666664,6.9,9.2,4.6
2021-08-12,18903.916666666668,9.6,12.8,6.4
2021-08-13,18466.250000000007,6.3,8.4,4.2
2021-08-14,16754.041666666668,7.4,9.866666667,4.933333333
2021-08-15,16866.625,8.3,11.06666667,5.533333333
2021-08-16,17236.791666666668,12.3,16.4,8.2
2021-08-17,17913.75,13.3,17.73333333,8.866666667
